sourcetype,app,ids_type,vendor,product,product_detail
cisco_ips_syslog,,network,Cisco,IPS,Intrusion Prevention System
cisco_acs,cisco:acs,,Cisco,ACS,Secure Access Control System
cisco_asa,,,Cisco,ASA,Adaptive Security Appliance
cisco_csa,,host,Cisco,CSA,
cisco_fwsm,,,Cisco,FWSM,Firewall Services Module
cisco_ids,,network,Cisco,IDS,Intrusion Detection System
cisco_pix,,network,Cisco,Pix,
cisco_wap,,wireless,Cisco,WAP,Wireless Access Point
cisco_firewall,,,Cisco,Firewall,
cisco_ios,,,Cisco,RTR,Cisco Router
cisco_ise,,,Cisco,ISE,Identity Services Engine
cisco_smc,,,Cisco,CTD,Cyber Threat Defense
cisco_sw,,,Cisco,SW,Cisco Switch
cisco_esa,,,Cisco,ESA,Email Security Appliance
cisco_wsa,,,Cisco,WSA,Web Security Appliance
Cisco:ISE:Syslog,,,Cisco,ISE,Identity Services Engine
