service,port,protocol
rtmp,1,ddp
tcpmux,1,udp
tcpmux,1,tcp
nbp,2,ddp
compressnet,2,udp
compressnet,2,tcp
compressnet,3,udp
compressnet,3,tcp
echo,4,ddp
rje,5,udp
rje,5,tcp
zip,6,ddp
echo,7,udp
echo,7,tcp
discard,9,udp
discard,9,tcp
systat,11,udp
systat,11,tcp
daytime,13,udp
daytime,13,tcp
qotd,17,udp
qotd,17,tcp
msp,18,udp
msp,18,tcp
chargen,19,udp
chargen,19,tcp
ftp,21,udp
ftp,21,tcp
ssh,22,udp
ssh,22,tcp
telnet,23,udp
telnet,23,tcp
smtp,25,udp
smtp,25,tcp
dsp,33,udp
dsp,33,tcp
time,37,udp
time,37,tcp
rap,38,udp
rap,38,tcp
rlp,39,udp
rlp,39,tcp
graphics,41,udp
graphics,41,tcp
name,42,udp
name,42,tcp
nicname,43,tcp
nicname,43,udp
mpm,45,udp
mpm,45,tcp
auditd,48,udp
auditd,48,tcp
tacacs,49,udp
tacacs,49,tcp
domain,53,udp
domain,53,tcp
acas,62,udp
acas,62,tcp
covia,64,udp
covia,64,tcp
bootps,67,udp
bootps,67,tcp
bootpc,68,udp
bootpc,68,tcp
tftp,69,udp
tftp,69,tcp
gopher,70,udp
gopher,70,tcp
deos,76,udp
deos,76,tcp
vettcp,78,udp
vettcp,78,tcp
finger,79,udp
finger,79,tcp
http,80,udp
http,80,tcp
xfer,82,udp
xfer,82,tcp
ctf,84,udp
ctf,84,tcp
mfcobol,86,udp
mfcobol,86,tcp
kerberos,88,udp
kerberos,88,tcp
dnsix,90,udp
dnsix,90,tcp
npp,92,udp
npp,92,tcp
dcp,93,udp
dcp,93,tcp
objcall,94,udp
objcall,94,tcp
supdup,95,udp
supdup,95,tcp
dixie,96,udp
dixie,96,tcp
tacnews,98,udp
tacnews,98,tcp
metagram,99,udp
metagram,99,tcp
newacct,100,tcp
hostname,101,udp
hostname,101,tcp
gppitnp,103,udp
gppitnp,103,tcp
cso,105,udp
cso,105,tcp
rtelnet,107,udp
rtelnet,107,tcp
snagas,108,udp
snagas,108,tcp
pop2,109,udp
pop2,109,tcp
pop3,110,udp
pop3,110,tcp
sunrpc,111,udp
sunrpc,111,tcp
mcidas,112,udp
mcidas,112,tcp
auth,113,udp
auth,113,tcp
audionews,114,udp
audionews,114,tcp
sftp,115,udp
sftp,115,tcp
ansanotify,116,udp
ansanotify,116,tcp
sqlserv,118,udp
sqlserv,118,tcp
nntp,119,udp
nntp,119,tcp
cfdptkt,120,udp
cfdptkt,120,tcp
erpc,121,udp
erpc,121,tcp
smakynet,122,udp
smakynet,122,tcp
ntp,123,udp
ntp,123,tcp
ansatrader,124,udp
ansatrader,124,tcp
nxedit,126,udp
nxedit,126,tcp
pwdgen,129,udp
pwdgen,129,tcp
statsrv,133,udp
statsrv,133,tcp
epmap,135,udp
epmap,135,tcp
profile,136,udp
profile,136,tcp
imap,143,udp
imap,143,tcp
uma,144,udp
uma,144,tcp
uaac,145,udp
uaac,145,tcp
jargon,148,udp
jargon,148,tcp
hems,151,udp
hems,151,tcp
bftp,152,udp
bftp,152,tcp
sgmp,153,udp
sgmp,153,tcp
sqlsrv,156,udp
sqlsrv,156,tcp
snmp,161,udp
snmp,161,tcp
snmptrap,162,udp
snmptrap,162,tcp
namp,167,udp
namp,167,tcp
rsvd,168,udp
rsvd,168,tcp
send,169,udp
send,169,tcp
multiplex,171,udp
multiplex,171,tcp
mailq,174,udp
mailq,174,tcp
vmnet,175,udp
vmnet,175,tcp
xdmcp,177,udp
xdmcp,177,tcp
nextstep,178,udp
nextstep,178,tcp
bgp,179,udp
bgp,179,tcp
ris,180,udp
ris,180,tcp
unify,181,udp
unify,181,tcp
audit,182,udp
audit,182,tcp
ocbinder,183,udp
ocbinder,183,tcp
ocserver,184,udp
ocserver,184,tcp
kis,186,udp
kis,186,tcp
aci,187,udp
aci,187,tcp
mumps,188,udp
mumps,188,tcp
qft,189,udp
qft,189,tcp
gacp,190,udp
gacp,190,tcp
prospero,191,udp
prospero,191,tcp
srmp,193,udp
srmp,193,tcp
irc,194,udp
irc,194,tcp
dls,197,udp
dls,197,tcp
smux,199,udp
smux,199,tcp
src,200,udp
src,200,tcp
qmtp,209,udp
qmtp,209,tcp
anet,212,udp
anet,212,tcp
ipx,213,udp
ipx,213,tcp
vmpwscs,214,udp
vmpwscs,214,tcp
softpc,215,udp
softpc,215,tcp
CAIlic,216,udp
CAIlic,216,tcp
dbase,217,udp
dbase,217,tcp
mpp,218,udp
mpp,218,tcp
uarps,219,udp
uarps,219,tcp
imap3,220,udp
imap3,220,tcp
cdc,223,udp
cdc,223,tcp
masqdialer,224,udp
masqdialer,224,tcp
direct,242,udp
direct,242,tcp
inbusiness,244,udp
inbusiness,244,tcp
link,245,udp
link,245,tcp
dsp3270,246,udp
dsp3270,246,tcp
subntbcst_tftp,247,udp
subntbcst_tftp,247,tcp
bhfhs,248,udp
bhfhs,248,tcp
rap,256,udp
rap,256,tcp
set,257,udp
set,257,tcp
openport,260,udp
openport,260,tcp
nsiiops,261,udp
nsiiops,261,tcp
arcisdms,262,udp
arcisdms,262,tcp
hdap,263,udp
hdap,263,tcp
bgmp,264,udp
bgmp,264,tcp
sst,266,udp
sst,266,tcp
rescap,283,udp
rescap,283,tcp
corerjd,284,udp
corerjd,284,tcp
novastorbakcup,308,udp
novastorbakcup,308,tcp
entrusttime,309,udp
entrusttime,309,tcp
bhmds,310,udp
bhmds,310,tcp
vslmp,312,udp
vslmp,312,tcp
dpsi,315,udp
dpsi,315,tcp
decauth,316,udp
decauth,316,tcp
zannet,317,udp
zannet,317,tcp
pip,321,udp
pip,321,tcp
rtsps,322,udp
rtsps,322,tcp
texar,333,udp
texar,333,tcp
pdap,344,udp
pdap,344,tcp
pawserv,345,udp
pawserv,345,tcp
zserv,346,udp
zserv,346,tcp
fatserv,347,udp
fatserv,347,tcp
mftp,349,udp
mftp,349,tcp
bhoetty,351,udp
bhoetty,351,tcp
bhoedap4,352,udp
bhoedap4,352,tcp
ndsauth,353,udp
ndsauth,353,tcp
bh611,354,udp
bh611,354,tcp
bhevent,357,udp
bhevent,357,tcp
shrinkwrap,358,udp
shrinkwrap,358,tcp
nsrmp,359,udp
nsrmp,359,tcp
scoi2odialog,360,udp
scoi2odialog,360,tcp
semantix,361,udp
semantix,361,tcp
srssend,362,udp
srssend,362,tcp
rsvp_tunnel,363,udp
rsvp_tunnel,363,tcp
dtk,365,udp
dtk,365,tcp
odmr,366,udp
odmr,366,tcp
mortgageware,367,udp
mortgageware,367,tcp
qbikgdp,368,udp
qbikgdp,368,tcp
rpc2portmap,369,udp
rpc2portmap,369,tcp
codaauth2,370,udp
codaauth2,370,tcp
clearcase,371,udp
clearcase,371,tcp
ulistproc,372,udp
ulistproc,372,tcp
hassle,375,udp
hassle,375,tcp
nip,376,udp
nip,376,tcp
tnETOS,377,udp
tnETOS,377,tcp
dsETOS,378,udp
dsETOS,378,tcp
is99c,379,udp
is99c,379,tcp
is99s,380,udp
is99s,380,tcp
arns,384,udp
arns,384,tcp
asa,386,udp
asa,386,tcp
aurp,387,udp
aurp,387,tcp
ldap,389,udp
ldap,389,tcp
uis,390,udp
uis,390,tcp
meta5,393,udp
meta5,393,tcp
netcp,395,udp
netcp,395,tcp
mptn,397,udp
mptn,397,tcp
kryptolan,398,udp
kryptolan,398,tcp
ups,401,udp
ups,401,tcp
genie,402,udp
genie,402,tcp
decap,403,udp
decap,403,tcp
nced,404,udp
nced,404,tcp
ncld,405,udp
ncld,405,tcp
imsp,406,udp
imsp,406,tcp
timbuktu,407,udp
timbuktu,407,tcp
decladebug,410,udp
decladebug,410,tcp
rmt,411,udp
rmt,411,tcp
smsp,413,udp
smsp,413,tcp
infoseek,414,udp
infoseek,414,tcp
bnet,415,udp
bnet,415,tcp
silverplatter,416,udp
silverplatter,416,tcp
onmux,417,udp
onmux,417,tcp
ariel1,419,udp
ariel1,419,tcp
smpte,420,udp
smpte,420,tcp
ariel2,421,udp
ariel2,421,tcp
ariel3,422,udp
ariel3,422,tcp
smartsdp,426,udp
smartsdp,426,tcp
svrloc,427,udp
svrloc,427,tcp
ocs_cmu,428,udp
ocs_cmu,428,tcp
ocs_amu,429,udp
ocs_amu,429,tcp
utmpsd,430,udp
utmpsd,430,tcp
utmpcd,431,udp
utmpcd,431,tcp
iasd,432,udp
iasd,432,tcp
nnsp,433,udp
nnsp,433,tcp
comscm,437,udp
comscm,437,tcp
dsfgw,438,udp
dsfgw,438,tcp
dasp,439,udp
dasp,439,tcp
sgcp,440,udp
sgcp,440,tcp
cvc_hostd,442,udp
cvc_hostd,442,tcp
https,443,udp
https,443,tcp
snpp,444,udp
snpp,444,tcp
tserver,450,udp
tserver,450,tcp
creativeserver,453,udp
creativeserver,453,tcp
contentserver,454,udp
