url,"date_mday",totalbytes
"http://antivirus.cn.cisco.com/dats/CommonUpdater//Current/BOCVSE__1000/DAT/0000/PkgCatalog.z",18,8989
"http://antivirus.cn.cisco.com/dats/CommonUpdater//Current/BOCVSE__1000/DAT/0000/PkgCatalog.z",19,9012
"http://antivirus.cn.cisco.com/dats/CommonUpdater//Current/BOCVSE__1000/DAT/0000/PkgCatalog.z",20,9013
"http://antivirus.cn.cisco.com/dats/CommonUpdater//Current/BOCVSE__1000/DAT/0000/PkgCatalog.z",21,8989
"http://antivirus.cn.cisco.com/dats/CommonUpdater//Current/BOCVSE__1000/DAT/0000/PkgCatalog.z",22,9002
"http://antivirus.cn.cisco.com/dats/CommonUpdater//Current/BOCVSE__1000/DAT/0000/PkgCatalog.z",23,9012
"http://antivirus.cn.cisco.com/dats/CommonUpdater//Current/BOCVSE__1000/DAT/0000/PkgCatalog.z",24,9012
"http://antivirus.cn.cisco.com/dats/CommonUpdater//Current/EPOAGENT3000META/Plugin/0000/PkgCatalog.z",18,9157
"http://antivirus.cn.cisco.com/dats/CommonUpdater//Current/EPOAGENT3000META/Plugin/0000/PkgCatalog.z",19,9172
"http://antivirus.cn.cisco.com/dats/CommonUpdater//Current/EPOAGENT3000META/Plugin/0000/PkgCatalog.z",20,9181
"http://antivirus.cn.cisco.com/dats/CommonUpdater//Current/EPOAGENT3000META/Plugin/0000/PkgCatalog.z",21,9164
"http://antivirus.cn.cisco.com/dats/CommonUpdater//Current/EPOAGENT3000META/Plugin/0000/PkgCatalog.z",22,9170
"http://antivirus.cn.cisco.com/dats/CommonUpdater//Current/EPOAGENT3000META/Plugin/0000/PkgCatalog.z",23,9180
"http://antivirus.cn.cisco.com/dats/CommonUpdater//Current/EPOAGENT3000META/Plugin/0000/PkgCatalog.z",24,9180
"http://antivirus.cn.cisco.com/dats/CommonUpdater//Current/EXTRADAT1000/ExtraDAT/0000/PkgCatalog.z",18,754
"http://antivirus.cn.cisco.com/dats/CommonUpdater//Current/EXTRADAT1000/ExtraDAT/0000/PkgCatalog.z",22,761
"http://antivirus.cn.cisco.com/dats/CommonUpdater//Current/EXTRADAT1000/ExtraDAT/0000/PkgCatalog.z",23,761
